04,15,28,43,54,57
01,05,09,11,23,27
06,12,19,25,54,60
05,10,33,37,42,53
05,23,37,41,42,53
05,28,33,37,38,41
23,28,33,37,38,42
17,22,26,33,34,37
01,09,12,28,39,55
07,10,11,24,53,56
02,04,18,21,33,49
09,18,24,36,38,47
01,18,23,25,28,30
04,15,31,42,50,59
07,11,14,19,36,52
04,05,10,23,37,38
23,30,37,38,42,53
06,12,21,26,45,50
24,29,36,43,48,54
02,07,28,36,53,60
19,20,24,28,51,58
07,19,29,32,37,47
10,19,20,32,45,53
03,29,32,37,44,58
04,10,23,38,41,42
09,13,17,32,48,57
02,08,27,33,35,56
04,05,28,30,38,42
10,18,23,42,45,58
09,18,30,37,39,43
